Layer,L1,L2
conv1,32.654624938964844,2.4965569972991943
conv1,101.85272216796875,7.6606292724609375
conv1,230.095947265625,16.78008270263672
conv1,444.43389892578125,32.08137130737305
conv1,763.3264770507812,54.41356658935547
conv1,1205.2708740234375,84.86172485351562
conv1,1869.2044677734375,129.92071533203125
conv1,2615.92041015625,181.04446411132812
conv1,3697.554931640625,253.46990966796875
conv1,4955.8896484375,339.16680908203125
conv2,2649.274169921875,27.536113739013672
conv2,8194.072265625,78.80376434326172
conv2,16349.71875,148.0806884765625
conv2,27698.234375,240.13595581054688
conv2,41019.29296875,346.2762756347656
conv2,56212.234375,465.2311706542969
conv2,76114.671875,621.907470703125
conv2,93928.171875,758.0220947265625
conv2,117769.3203125,947.6949462890625
conv2,142458.375,1139.7708740234375
fc1,29769.3515625,108.04393768310547
fc1,18644.62109375,95.58051300048828
fc1,23816.5859375,115.98917388916016
fc1,33956.94140625,150.5983123779297
fc1,46377.546875,190.6504669189453
fc1,59931.67578125,232.05227661132812
fc1,78505.0703125,290.9138488769531
fc1,95638.875,338.4959716796875
fc1,118816.875,410.458251953125
fc1,142497.796875,480.1761169433594
fc2,481.3499755859375,21.639564514160156
fc2,1314.9600830078125,73.25203704833984
fc2,2983.335693359375,161.23471069335938
fc2,5676.6962890625,301.7624816894531
fc2,9425.376953125,495.8173522949219
fc2,14287.6796875,744.186767578125
fc2,21314.650390625,1103.36669921875
fc2,28702.33203125,1475.6092529296875
fc2,39249.15625,2007.672119140625
fc2,50970.9140625,2595.743896484375
